"GENE","FC","log2(FC)","raw.pval","-log10(p)"
"Q9CVF5",1.1915,0.25279,0.46433,0.33317
"Q9DAK9",1.3819,0.46662,0.46812,0.32964
"Q3U6S1",0.91855,-0.12256,0.47005,0.32785
"Q9CR16",1.1855,0.24549,0.47112,0.32687
"P11983",1.1738,0.23121,0.47138,0.32663
"A0A1B0GSK5",0.81029,-0.30349,0.47396,0.32426
"Q5D098",0.86945,-0.20182,0.47538,0.32296
"Q3ULK8",1.1655,0.221,0.4828,0.31623
"Q60597",1.2277,0.29592,0.4842,0.31498
"P21300",1.2131,0.27865,0.48506,0.3142
"Q3KQQ1",0.91015,-0.13582,0.48559,0.31373
"Q3ULW0",1.2247,0.29241,0.48564,0.31368
"Q60668",0.86578,-0.20792,0.48632,0.31308
"G3UX26",0.90654,-0.14155,0.48706,0.31242
"Q9DCW4",0.89767,-0.15574,0.49294,0.30721
"Q80T06",0.91638,-0.12598,0.493,0.30715
"Q00PI9",1.1818,0.24102,0.49383,0.30643
"Q99LD8",0.71615,-0.48166,0.4941,0.30619
"E9Q448",0.91381,-0.13004,0.49429,0.30601
"Q3UIJ3",1.0977,0.13445,0.49856,0.30228
"A0A286YCD7",1.3522,0.43535,0.49915,0.30177
"P01872",0.91195,-0.13297,0.50264,0.29874
"Q9QZ88",0.8901,-0.16796,0.50367,0.29785
"P54728",0.89566,-0.15897,0.50528,0.29647
"P49722",1.0886,0.12242,0.50878,0.29347
"Q9CX86",1.1045,0.14343,0.51026,0.29221
"Q61171",0.92272,-0.11604,0.51038,0.29211
"A0A1B0GRR8",0.9173,-0.12453,0.51047,0.29203
"Q3UKR1",0.93392,-0.098634,0.51408,0.28897
"Q3UW40",0.86638,-0.20692,0.51532,0.28792
"Q9D823",0.8819,-0.18132,0.51658,0.28686
"P62869",1.0924,0.12748,0.51747,0.28611
"A0A1W2P729",0.9223,-0.11669,0.52005,0.28395
"Q61578",1.2607,0.33427,0.52277,0.28169
"P51881",0.90661,-0.14145,0.52371,0.28091
"O88342",0.93849,-0.091593,0.52556,0.27938
"Q02257",0.66586,-0.5867,0.52591,0.27909
"Q6P202",0.92032,-0.1198,0.52594,0.27907
"P24472",1.088,0.12163,0.5263,0.27877
"P83940",0.68934,-0.53671,0.5276,0.2777
"E9Q0B5",1.23,0.29864,0.53349,0.27288
"O35639",1.1452,0.19557,0.53374,0.27267
"Q61650",1.2433,0.31421,0.53383,0.2726
"P11087",3.0673,1.617,0.53568,0.2711
"A0A1Y7VJ48",0.87343,-0.19523,0.54057,0.26715
"P24527",0.94238,-0.085618,0.5409,0.26688
"D3Z134",0.91868,-0.12237,0.54368,0.26466
"Q66JR7",0.93219,-0.10131,0.54496,0.26363
"Q9Z2U1",0.83541,-0.25944,0.54551,0.26319
"Q9R0P5",1.0762,0.10595,0.54613,0.2627
"P00920",1.1653,0.22072,0.54766,0.26149
"Q0VDM9",1.1654,0.22083,0.54874,0.26063
"Q99LX0",0.85569,-0.22483,0.5506,0.25917
"G3X8Q5",0.82822,-0.27191,0.55076,0.25904
"E9QNN1",1.1827,0.24208,0.55198,0.25807
"H3BLI9",0.70641,-0.50141,0.55349,0.25689
"Q8C1W9",1.0846,0.11712,0.55649,0.25454
"Q8BG13",0.87913,-0.18585,0.56014,0.2517
"P63254",1.1911,0.2523,0.56189,0.25035
"Q99JY0",0.88459,-0.17692,0.562,0.25026
"Q9D066",1.1725,0.22953,0.5625,0.24988
"P04117",2.1511,1.1051,0.56473,0.24816
"Q9D0M5",0.8362,-0.25809,0.5666,0.24672
"P27546",0.88123,-0.18241,0.57061,0.24366
"Q61553",0.82565,-0.27639,0.57134,0.24311
"Q9Z2X1",1.0466,0.065748,0.57228,0.24239
"J3QMG3",1.1597,0.21377,0.57913,0.23723
"A0A0R4J0Q5",1.0853,0.11805,0.57979,0.23673
